Column I Duties & Functions,"Column II Departments, Statutory Institutions & Public Corporations",Column III Laws and Ordinance to be Implemented
"1. Formulation, implementation, monitoring and evaluation of policies, programmes and projects, in relation to the subjects of Finance, Economic Stabilization and Taxation and those subjects that come under the purview of Departments, Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.",1. National Planning Department,• Appropriation Acts
,2. Department of Project Management and Monitoring,"• Customs Ordinance, No. 17 of 1956"
,3. Department of External Resources,"• Foreign Loans Act, No. 29 of 1957"
,4. State Resources Management Corporation,"• Debits Tax Act, No. 12 of 2007"
,5. General Treasury,"• Betting and Gaming Levy Act, No. 40 of 1998"
,6. Department of Fiscal Policy,"• Economic Service Charge Act, No. 13 of 2006"
,7. Department of National Budget,"• Public Service Mutual Provident Association Ordinance, No. 5 of 1891"
2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner,8. Department of Management Services,
Institutions & Public Corporations","Laws and Ordinance to be
Implemented"
"3. Reforming all systems and
procedures using modern
management techniques and
technology, thus ensuring that
the functions of the Ministry
are fulfilled while eliminating
corruption and waste.",9. Department of Public Finance,• Excise Ordinance (Chapter 52)
,"10. Department of Treasury
Operations","• Finance Leasing Act, No. 56 of
2000"
"4. Formulation of national
economic and financial policies
and strategies",11. Department of State Accounts,"• Financial Transactions
Reporting Act, No. 6 of 2006"
"5. Preparation of national
development and public
investment programmes","12. Department of Trade and
Investment Policies","• Public Fiscal Management
(Responsibility) Act, No. 3 of
2003"
"6. Formulation of fiscal and macro
fiscal management policies","13. Department of Information
Technology Management","• Regulation of Insurance Industry
Act, No. 43 of 2000"
"7. Identify causes for the economic
crises and introduce immediate
resuscitation remedies and
programmes",14. Department of Legal Affairs,"• Lady Lochore Fund Act, No. 38
of 1951"
"8. Introduce, implement and
monitor economic reforms
programmes needed to establish
a stable and sustainable
economic growth in the country.","15. Department of Management
Audit","• Local Treasury Bills Ordinance,
No. 8 of 1923"
"9. Monitor the mechanism for
implementation of cross-sectoral
national policy priorities.","16. Department of Development
Finance","• Nation Building Tax Act, No. 9
of 2009"
"10. Function as the Focal Point for
facilitation and coordination
of international and regional
trade integration including
bilateral and multilateral trade
agreements and resolution of
disputes arising from these
agreements.","17. Department of Public
Enterprises","• Business Names Act, No. 07 of
1987"
"11. Preparation of the annual budget
and management of financial
resources",18. Office of Comptroller General,• Companies Act No. 07 of 2007
,19. Department of Inland Revenue,• Trade Marks Act No. 30 of 1964
,20. Sri Lanka Customs,"• Cheetus Ordinance No. 61 of
1935"
,21. Department of Excise,"• Public Contract Act No. 03 Of
1987"
,22. National Lotteries Board,"• Prevention of Money
Laundering Act, No. 5 of 2006"
,23. Development Lotteries Board,"• Sri Lanka Accounting and
Auditing Standards Act, No. 15
of 1995"
,24. Department of Valuation,"• Import and Export (Control)
Act, No. 1 of 1969"
,"25. Import and Export Control
Department","• Sri Lanka Export Development
Act No. 40 of 1979"
,"26. Sri Lanka Export Development
Board",
,27. Central Bank of Sri Lanka,
,"28. All State Banks, Financial
Institutions, Insurance
Companies and their subsidiaries
and related institutions",
12. Ensuring the execution of the national budget and enforcing budgetary and financial controls,29. Insurance Regulatory Commission of Sri Lanka,"• Stamp Duty (Special Provisions) Act, No. 12 of 2006"
13. Management of national tax policies and effective use of Government revenue,30. Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies,"• Stamp Duty (Special Provisions) Act, No. 10 of 2008"
14. Coordination of public and private sector activities for economic development,31. Credit Information Bureau,"• Stamps Duty Act, No. 43 of 1982"
15. Coordination with international agencies and mobilization of foreign resources for economic development,32. Department of the Registrar of Companies,"• Value Added Tax Act, No. 14 of 2002"
16. Liaising with donor agencies and international financial institutions,33. Securities and Exchange Commission of Sri Lanka,"• Welfare Benefits Act, No. 24 of 2002"
17. Enforcement of Government Financial Regulations,34. Sri Lanka Accounting and Auditing Standard Monitoring Board,"• Finance Act, No. 38 of 1971"
18. Management of the Consolidated Fund,35. Public Utilities Commission of Sri Lanka,"• Environment Conservation Levy Act, No. 26 of 2008"
19. Overall supervision of revenue agencies,36. Sri Lanka Export Credit Insurance Corporation,"• Tax Appeals Commission Act, No. 23 of 2008"
20. Provision of direction and guidance to State Banks and Financial Agencies,37. Housing Development Finance Corporation,• Public Utilities Commission of Sri Lanka Act No. 35 of 2002
21. Public expenditure management,38. State Mortgage and Investment Bank,Institute of Policy Studies of Sri Lanka Act No. 53 of 1988
"22. Preparation of policies, guidelines and regulations on government procurement and provision of advice on same",39. Regional Development Bank,• Sustainable Development Act No. 19 of 2017
"23. Maintenance of information on state property such as vehicles, buildings, lands owned by all government institutions and development of methods to utilize such resources efficiently and effectively.",40. Tax Appeals Commission,"• Development Lotteries Board Act, No. 20 of 1997"
,41. Department of Census and Statistics,"• Sri Lanka Export Credit Insurance Act, No. 15 of 1978"
,42. Institute of Policy Studies,"• Inland Revenue Act, No. 24 of 2017"
,43. Sustainable Development Council,• Monetary Law Act No. 58 of 1949
,44. Welfare Benefits Board,"• National Savings Bank Act, No. 30 of 1971"
,45. Public Service Mutual Provident Fund,"• People's Bank Act, No. 29 of 1961"
,"46. Strike, Riot, Civil Commotion and Terrorism Fund",
24. Supervision of departmental and other public funds,47. National Insurance Trust Fund,• Bank of Ceylon Ordinance No. 53 of 1938
25. Maintenance of Treasury Minutes on reports of the Public Accounts Committee,48. Employees' Trust Fund,"• Banking Act, No. 30 of 1988"
26. Cadre management and advisory services on fixing of salaries,49. Lady Lochore Fund,"• Housing Development Finance Corporation Act, No. 07 of 1997"
27. Monetary policy formulation and macroeconomic management in coordination with the Central Bank of Sri Lanka,50. Board of Investment of Sri Lanka,"• Recovery of loans by Banks (Special Provisions) Act, No. 4 of 1990"
28. Revenue collection and expenditure monitoring,51. Colombo Port City Economic Commission,"• Securities and Exchange Commission of Sri Lanka Act, No. 36 of 1987"
29. Formulation of guidelines for the promotion of management audit in departments,52. Department of Telecommunications,"• Regional Development Banks Act, No. 41 of 2008"
30. Regulation of insurance industry,53. Wildlife Trust,"• National Insurance Trust Fund Act, No. 28 of 2006"
"31. Financial administration of Public Corporations, Statutory Boards and Government Owned Companies",54. Sri Lanka Media Training Institute,• Employees' Trust Fund (Special Provisions) Act No. 19 of 1993
32. Development of Colombo Port City Special Economic Zone as an International Business and Services Hub with specialized infrastructure and other facilities aimed at national interest and economic advancement.,55. Department of Internal Trade,"• Employees Trust Fund Act, No. 46 of 1980"
33. Finalizethe liquidation and amalgamation work of Institutions listed in Column II from item No. 52 to 59.,"56. Pulse Crops, Grain Research and Production Authority",• Excise (Special Provisions) Act No. 13 of 1989
34. All other subjects that come under the purview of Institutions listed in Column II,57. Janatha Fertilizer Enterprises Ltd,• Registered Stock and Securities Ordinance No. 07 of 1937
35. Supervision of all the Institutions listed in Column II,58. Protection of Children National Trust Fund,"• Payment and Settlement Systems Act, No. 28 of 2005"
,59. Institutions coming under the Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act vested to the Secretary to the Treasury,"• Finance Business Act, No. 42 of 2011"
,,"• Foreign Exchange Act, No. 12 of 2017"
,,• Census Ordinance (Chapter 143)
,,"• Insurance Corporation Act, No. 02 of 1961"
,,"• Credit Information Bureau of Sri Lanka Act, No. 18 of 1990"
,,• Microfinance Act No. 6 of 2016
,,• Finance Companies Act No. 78 of 1988
,,• Exchange Control Act No. 24 of 1953
,,"• Sri Lanka State Mortgage and Investment Bank Act, No. 13 of 1975"
,,"• Casino Business (Regulation) Act, No. 17 of 2010"
,,"• Payment Devices Frauds Act, No. 30 of 2006"
,,• Greater Colombo Economic Commission Law No. 4 of 1978 (Board of Investment of Sri Lanka Law)
,,"• Colombo Port City Economic Commission Act, No. 11 of 2021"
,,"• Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act, No. 12 of 2019"
,,"• Institute of Chartered Accountants Act, No. 23 of 1959"
,,• Strategic Development Project Act No. 14 of 2008
,,"• All other legislations pertaining to the subjects specified in Column I and II, and not specifically brought under the purview of any other Minister."
