"Column I
Duties & Functions","Column II
Departments, Statutory
Institutions & Public Corporations","Column III
Laws and Ordinance to be
Implemented"
"11. Provision of defence education
and post-service education for
defence service personnel","19. National Dangerous Drugs
Control Board","• Private Security Agencies Act,
No. 45 of 1998"
"12. Provision of higher education
for defence service personnel",20. National Defence Fund,"• Department of Coast Guard Act,
No. 41 of 2009"
"13. Matters relating to private
security services",21. Ranaviru Seva Authority,"• Convention against Illicit
Traffic in Narcotic Drugs and
Psychotropic Substances Act,
No. 1 of 2008"
"14. Rescue operations and
administration of Coast Guard
Service",22. Api Wenuwen Api Fund,"• Drug Dependent Persons
(Treatment and Rehabilitation)
Act, No. 54 of 2007"
15. Matters relating to Extradition,23. Department of Meteorology,"• National Dangerous Drugs
Control Board Act, No. 11 of
1984"
"16. Prevention and control of the
use of dangerous drugs","24. National Disaster Management
Council","• Ranaviru Seva Authority Act,
No. 54 of 1999"
"17. Matters relating to veteran and
disabled soldiers",25. Disaster Management Centre,"• Api Wenuwen Api Fund Act,
No. 6 of 2008"
"18. Provision of weather and climate
related services","26. National Disaster Relief
Services Centre","• Sri Lanka Disaster Management
Act, No. 13 of 2005"
"19. Meteorological surveys and
research","27. National Building Research
Organization","• Sri Lanka Telecommunications
Act, No. 25 of 1991"
"20. Landslide disaster management
and related research and
development","28. Telecommunication Regulatory
Commission of Sri Lanka and
Allied Institutions","• All other legislations pertaining
to the subjects specified in
Column I and II, and not
specifically brought under the
purview of any other Minister."
"21. Forecasting natural disasters
and sensitizing relevant sectors
regarding them",,
"22. Coordination of awareness
programmes on natural and
man-made disasters",,
"23. Conduct rescue operations
during natural and man-made
disasters",,
"24. Promotion of disaster resilient
construction and provision of
technical guidance.",,
"3. Reforming all systems and
procedures using modern
management techniques and
technology, thus ensuring that
the functions of the Ministry
are fulfilled while eliminating
corruption and waste.",9. Department of Public Finance,• Excise Ordinance (Chapter 52)
"4. Formulation of national
economic and financial policies
and strategies","10. Department of Treasury
Operations","• Finance Leasing Act, No. 56 of
2000"
"5. Preparation of national
development and public
investment programmes",11. Department of State Accounts,"• Financial Transactions
Reporting Act, No. 6 of 2006"
"6. Formulation of fiscal and macro
fiscal management policies","12. Department of Trade and
Investment Policies","• Public Fiscal Management
(Responsibility) Act, No. 3 of
2003"
"7. Identify causes for the economic
crises and introduce immediate
resuscitation remedies and
programmes","13. Department of Information
Technology Management","• Regulation of Insurance Industry
Act, No. 43 of 2000"
"8. Introduce, implement and
monitor economic reforms
programmes needed to establish
a stable and sustainable
economic growth in the country.",14. Department of Legal Affairs,"• Lady Lochore Fund Act, No. 38
of 1951"
"9. Monitor the mechanism for
implementation of cross-sectoral
national policy priorities.","15. Department of Management
Audit","• Local Treasury Bills Ordinance,
No. 8 of 1923"
"10. Function as the Focal Point for
facilitation and coordination
of international and regional
trade integration including
bilateral and multilateral trade
agreements and resolution of
disputes arising from these
agreements.","16. Department of Development
Finance","• Nation Building Tax Act, No. 9
of 2009"
"11. Preparation of the annual budget
and management of financial
resources","17. Department of Public
Enterprises","• Business Names Act, No. 07 of
1987"
,18. Office of Comptroller General,• Companies Act No. 07 of 2007
,19. Department of Inland Revenue,• Trade Marks Act No. 30 of 1964
,20. Sri Lanka Customs,"• Cheetus Ordinance No. 61 of
1935"
,21. Department of Excise,"• Public Contract Act No. 03 Of
1987"
,22. National Lotteries Board,"• Prevention of Money
Laundering Act, No. 5 of 2006"
,23. Development Lotteries Board,"• Sri Lanka Accounting and
Auditing Standards Act, No. 15
of 1995"
,24. Department of Valuation,"• Import and Export (Control)
Act, No. 1 of 1969"
,"25. Import and Export Control
Department","• Sri Lanka Export Development
Act No. 40 of 1979"
,"26. Sri Lanka Export Development
Board",
,27. Central Bank of Sri Lanka,
,"28. All State Banks, Financial
Institutions, Insurance
Companies and their subsidiaries
and related institutions",
,,• Microfinance Act No. 6 of 2016
,,"• Finance Companies Act No. 78
of 1988"
,,"• Exchange Control Act No. 24 of
1953"
,,"• Sri Lanka State Mortgage and
Investment Bank Act, No. 13 of
1975"
,,"• Casino Business (Regulation)
Act, No. 17 of 2010"
,,"• Payment Devices Frauds Act,
No. 30 of 2006"
,,"• Greater Colombo Economic
Commission Law No. 4 of 1978
(Board of Investment of Sri
Lanka Law)"
,,"• Colombo Port City Economic
Commission Act, No. 11 of 2021"
,,"• Revival (Removal) of
Underperforming Enterprises or
Underutilized Assets Act, No. 12
of 2019"
,,"• Institute of Chartered
Accountants Act, No. 23 of 1959"
,,"• Strategic Development Project
Act No. 14 of 2008"
,,"• All other legislations pertaining
to the subjects specified in
Column I and II, and not
specifically brought under the
purview of any other Minister."
