Column I Duties & Functions,"Column II Departments, Statutory Institutions & Public Corporations",Column III Laws and Ordinance to be Implemented
11. Provision of defence education and post-service education for defence service personnel,19. National Dangerous Drugs Control Board,"• Private Security Agencies Act, No. 45 of 1998"
12. Provision of higher education for defence service personnel,20. National Defence Fund,"• Department of Coast Guard Act, No. 41 of 2009"
13. Matters relating to private security services,21. Ranaviru Seva Authority,"• Convention against Illicit Traffic in Narcotic Drugs and Psychotropic Substances Act, No. 1 of 2008"
14. Rescue operations and administration of Coast Guard Service,22. Api Wenuwen Api Fund,"• Drug Dependent Persons (Treatment and Rehabilitation) Act, No. 54 of 2007"
15. Matters relating to Extradition,23. Department of Meteorology,"• National Dangerous Drugs Control Board Act, No. 11 of 1984"
16. Prevention and control of the use of dangerous drugs,24. National Disaster Management Council,"• Ranaviru Seva Authority Act, No. 54 of 1999"
17. Matters relating to veteran and disabled soldiers,25. Disaster Management Centre,"• Api Wenuwen Api Fund Act, No. 6 of 2008"
18. Provision of weather and climate related services,26. National Disaster Relief Services Centre,"• Sri Lanka Disaster Management Act, No. 13 of 2005"
19. Meteorological surveys and research,27. National Building Research Organization,"• Sri Lanka Telecommunications Act, No. 25 of 1991"
20. Landslide disaster management and related research and development,28. Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions,"• All other legislations pertaining to the subjects specified in Column I and II, and not specifically brought under the purview of any other Minister."
21. Forecasting natural disasters and sensitizing relevant sectors regarding them,,
22. Coordination of awareness programmes on natural and man-made disasters,,
23. Conduct rescue operations during natural and man-made disasters,,
24. Promotion of disaster resilient construction and provision of technical guidance.,,
Duties & Functions","Column II
Departments, Statutory
Institutions & Public Corporations","Column III
Laws and Ordinance to be
Implemented"
"25. Encourage research and
development into appropriate
technology for housing and
construction sector",,
"26. Promote sustained development
in the telecommunication
industry by shaping the
regulatory process, protecting
public interest and being
responsive to challenges in an
increasingly competitive market",,
"27. All other subjects that come
under the purview of Institutions
listed in Column II",,
"28. Supervision of all the
Institutions listed in Column II",,
