"Column I
Duties & Functions","Column II
Departments, Statutory
Institutions & Public Corporations","Column III
Laws and Ordinance to be
Implemented"
"1. Formulation, implementation,
monitoring and evaluation
of policies, programmes and
projects, in relation to the
subjects of Finance, Economic
Stabilization and Taxation and
those subjects that come under
the purview of Departments,
Statutory Institutions and Public
Corporations listed in Column
II based on the national policies
implemented by the government.","1. National Planning Department
2. Department of Project
Management and Monitoring
3. Department of External
Resources
4. State Resources Management
Corporation
5. General Treasury
6. Department of Fiscal Policy
7. Department of National Budget
8. Department of Management
Services","• Appropriation Acts
• Customs Ordinance, No. 17 of
1956
• Foreign Loans Act, No. 29 of
1957
• Debits Tax Act, No. 12 of 2007
• Betting and Gaming Levy Act,
No. 40 of 1998
• Economic Service Charge Act,
No. 13 of 2006
• Public Service Mutual Provident
Association Ordinance, No. 5 of
1891"
"2. Provision of public services
under the purview of the
Ministry in an efficient and
people friendly manner",,
12. Ensuring the execution of the national budget and enforcing budgetary and financial controls,29. Insurance Regulatory Commission of Sri Lanka,"• Stamp Duty (Special Provisions) Act, No. 12 of 2006"
13. Management of national tax policies and effective use of Government revenue,30. Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies,"• Stamp Duty (Special Provisions) Act, No. 10 of 2008"
14. Coordination of public and private sector activities for economic development,31. Credit Information Bureau,"• Stamps Duty Act, No. 43 of 1982"
15. Coordination with international agencies and mobilization of foreign resources for economic development,32. Department of the Registrar of Companies,"• Value Added Tax Act, No. 14 of 2002"
16. Liaising with donor agencies and international financial institutions,33. Securities and Exchange Commission of Sri Lanka,"• Welfare Benefits Act, No. 24 of 2002"
17. Enforcement of Government Financial Regulations,34. Sri Lanka Accounting and Auditing Standard Monitoring Board,"• Finance Act, No. 38 of 1971"
18. Management of the Consolidated Fund,35. Public Utilities Commission of Sri Lanka,"• Environment Conservation Levy Act, No. 26 of 2008"
19. Overall supervision of revenue agencies,36. Sri Lanka Export Credit Insurance Corporation,"• Tax Appeals Commission Act, No. 23 of 2008"
20. Provision of direction and guidance to State Banks and Financial Agencies,37. Housing Development Finance Corporation,• Public Utilities Commission of Sri Lanka Act No. 35 of 2002
21. Public expenditure management,38. State Mortgage and Investment Bank,• Institute of Policy Studies of Sri Lanka Act No. 53 of 1988
"22. Preparation of policies, guidelines and regulations on government procurement and provision of advice on same",39. Regional Development Bank,• Sustainable Development Act No. 19 of 2017
"23. Maintenance of information on state property such as vehicles, buildings, lands owned by all government institutions and development of methods to utilize such resources efficiently and effectively.",40. Tax Appeals Commission,"• Development Lotteries Board Act, No. 20 of 1997"
,41. Department of Census and Statistics,"• Sri Lanka Export Credit Insurance Act, No. 15 of 1978"
,42. Institute of Policy Studies,"• Inland Revenue Act, No. 24 of 2017"
,43. Sustainable Development Council,• Monetary Law Act No. 58 of 1949
,44. Welfare Benefits Board,"• National Savings Bank Act, No. 30 of 1971"
,45. Public Service Mutual Provident Fund,"• People's Bank Act, No. 29 of 1961"
,"46. Strike, Riot, Civil Commotion and Terrorism Fund",
Supervision of departmental and other public funds,National Insurance Trust Fund,Bank of Ceylon Ordinance No. 53 of 1938
Maintenance of Treasury Minutes on reports of the Public Accounts Committee,Employees' Trust Fund,"Banking Act, No. 30 of 1988"
Cadre management and advisory services on fixing of salaries,Lady Lochore Fund,"Housing Development Finance Corporation Act, No. 07 of 1997"
Monetary policy formulation and macroeconomic management in coordination with the Central Bank of Sri Lanka,Board of Investment of Sri Lanka,"Recovery of loans by Banks (Special Provisions) Act, No. 4 of 1990"
Revenue collection and expenditure monitoring,Colombo Port City Economic Commission,"Securities and Exchange Commission of Sri Lanka Act, No. 36 of 1987"
Formulation of guidelines for the promotion of management audit in departments,Department of Telecommunications,"Regional Development Banks Act, No. 41 of 2008"
Regulation of insurance industry,Wildlife Trust,"National Insurance Trust Fund Act, No. 28 of 2006"
"Financial administration of Public Corporations, Statutory Boards and Government Owned Companies",Sri Lanka Media Training Institute,Employees' Trust Fund (Special Provisions) Act No. 19 of 1993
Development of Colombo Port City Special Economic Zone as an International Business and Services Hub with specialized infrastructure and other facilities aimed at national interest and economic advancement.,Department of Internal Trade,"Employees Trust Fund Act, No. 46 of 1980"
Finalizethe liquidation and amalgamation work of Institutions listed in Column II from item No. 52 to 59.,"Pulse Crops, Grain Research and Production Authority",Excise (Special Provisions) Act No. 13 of 1989
All other subjects that come under the purview of Institutions listed in Column II,Janatha Fertilizer Enterprises Ltd,Registered Stock and Securities Ordinance No. 07 of 1937
Supervision of all the Institutions listed in Column II,Protection of Children National Trust Fund,"Payment and Settlement Systems Act, No. 28 of 2005"
