Column I Duties & Functions,"Column II Departments, Statutory Institutions & Public Corporations",Column III Laws and Ordinance to be Implemented
"1. Formulation, implementation,
monitoring and evaluation
of policies, programmes and
projects, in relation to the
subject of Defence, and those
subjects that come under the
purview of Departments,
Statutory Institutions and Public
Corporations listed in Column
II based on the national policies
implemented by the government.","1. Office of the Chief of Defence
Staff","• Chief of Defence Staff Act,
No. 35 of 2009"
"2. Provision of public services
under the purview of the
Ministry in an efficient and
people friendly manner.",2. Sri Lanka Army,• Army Act No. 17 of 1949
"3. Reforming all systems and
procedures using modern
management techniques and
technology, thus ensuring that
the functions of the Ministry
are fulfilled while eliminating
corruption and waste.",3. Sri Lanka Navy,• Navy Act No. 34 of 1950
4. Ensuring national security.,4. Sri Lanka Air Force,• Air Force Act No. 41 of 1949
5. Maintenance of internal security.,5. State Intelligence Service,"• Extradition Law, No. 8 of 1977"
"6. Maintenance of national
and internal security-related
intelligence services.",6. Civil Security Department,"• Explosives Act, No. 21 of 1956"
"7. Maintenance of relations with
visiting Armed Forces","7. Department of Multipurpose
Development Task Force","• Firearms Ordinance No. 33 of
1916"
"8. Extension of cooperation to
international humanitarian
operations.",8. National Cadet Corps,"• Firing Ranges and Military
Training Act, No. 24 of 1951"
"9. Matters relating to explosives
and firearms","9. National Authority for the
Implementation of Chemical
Weapons Convention","• Mobilization and Supplementary
Forces Act, No. 40 of 1985"
"10. Matters relating to maintenance
of light houses (other than those
belonging to the Ports Authority)","10. Sir John Kotelawala Defence
University","• Offensive Weapons Act, No. 18
of 1966"
,"11. Defence Services Command and
Staff College","• Piracy Act, No. 9 of 2001"
,12. Miloda Institute -,"• Prevention of Terrorism Act,
No. 48 of 1979"
,"as a Faculty of Kotelawala
Defence University","• Public Security Ordinance,
No. 25 of 1947"
,13. Defence Services School,"• Chemical Weapons Convention
Act, No. 58 of 2007"
,"14. Defence Research and
Development Centre","• Sir John Kotelawala Defence
Academy Act, No. 68 of 1981"
,"15. Institute of National Security
Studies","• Defence Services Command and
Staff College Act, No. 5 of 2008"
,16. National Defence College,"• Suppression of Terrorist
Bombings Act, No. 11 of 1999"
,17. Rakna Arakshana Lanka Ltd.,"• Suppression of Unlawful Acts
Against the Safety of Maritime
Navigation Act, No. 42 of 2000"
,"18. Coast Guard Department of Sri
Lanka",
11. Provision of defence education and post-service education for defence service personnel,19. National Dangerous Drugs Control Board,"• Private Security Agencies Act, No. 45 of 1998"
12. Provision of higher education for defence service personnel,20. National Defence Fund,"• Department of Coast Guard Act, No. 41 of 2009"
13. Matters relating to private security services,21. Ranaviru Seva Authority,"• Convention against Illicit Traffic in Narcotic Drugs and Psychotropic Substances Act, No. 1 of 2008"
14. Rescue operations and administration of Coast Guard Service,22. Api Wenuwen Api Fund,"• Drug Dependent Persons (Treatment and Rehabilitation) Act, No. 54 of 2007"
15. Matters relating to Extradition,23. Department of Meteorology,"• National Dangerous Drugs Control Board Act, No. 11 of 1984"
16. Prevention and control of the use of dangerous drugs,24. National Disaster Management Council,"• Ranaviru Seva Authority Act, No. 54 of 1999"
17. Matters relating to veteran and disabled soldiers,25. Disaster Management Centre,"• Api Wenuwen Api Fund Act, No. 6 of 2008"
18. Provision of weather and climate related services,26. National Disaster Relief Services Centre,"• Sri Lanka Disaster Management Act, No. 13 of 2005"
19. Meteorological surveys and research,27. National Building Research Organization,"• Sri Lanka Telecommunications Act, No. 25 of 1991"
20. Landslide disaster management and related research and development,28. Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions,"• All other legislations pertaining to the subjects specified in Column I and II, and not specifically brought under the purview of any other Minister."
21. Forecasting natural disasters and sensitizing relevant sectors regarding them,,
22. Coordination of awareness programmes on natural and man-made disasters,,
23. Conduct rescue operations during natural and man-made disasters,,
24. Promotion of disaster resilient construction and provision of technical guidance.,,
25. Encourage research and development into appropriate technology for housing and construction sector,,
"26. Promote sustained development in the telecommunication industry by shaping the regulatory process, protecting public interest and being responsive to challenges in an increasingly competitive market",,
27. All other subjects that come under the purview of Institutions listed in Column II,,
28. Supervision of all the Institutions listed in Column II,,
"1. Formulation, implementation, monitoring and evaluation of policies, programmes and projects, in relation to the subjects of Finance, Economic Stabilization and Taxation and those subjects that come under the purview of Departments, Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.","1. National Planning Department
2. Department of Project Management and Monitoring
3. Department of External Resources
4. State Resources Management Corporation
5. General Treasury
6. Department of Fiscal Policy
7. Department of National Budget
8. Department of Management Services","• Appropriation Acts
• Customs Ordinance, No. 17 of 1956
• Foreign Loans Act, No. 29 of 1957
• Debits Tax Act, No. 12 of 2007
• Betting and Gaming Levy Act, No. 40 of 1998
• Economic Service Charge Act, No. 13 of 2006
• Public Service Mutual Provident Association Ordinance, No. 5 of 1891"
2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,
"Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",Department of Public Finance,Excise Ordinance (Chapter 52)
,Department of Treasury Operations,"Finance Leasing Act, No. 56 of 2000"
Formulation of national economic and financial policies and strategies,Department of State Accounts,"Financial Transactions Reporting Act, No. 6 of 2006"
Preparation of national development and public investment programmes,Department of Trade and Investment Policies,"Public Fiscal Management (Responsibility) Act, No. 3 of 2003"
Formulation of fiscal and macro fiscal management policies,Department of Information Technology Management,"Regulation of Insurance Industry Act, No. 43 of 2000"
Identify causes for the economic crises and introduce immediate resuscitation remedies and programmes,Department of Legal Affairs,"Lady Lochore Fund Act, No. 38 of 1951"
"Introduce, implement and monitor economic reforms programmes needed to establish a stable and sustainable economic growth in the country.",Department of Management Audit,"Local Treasury Bills Ordinance, No. 8 of 1923"
Monitor the mechanism for implementation of cross-sectoral national policy priorities.,Department of Development Finance,"Nation Building Tax Act, No. 9 of 2009"
Function as the Focal Point for facilitation and coordination of international and regional trade integration including bilateral and multilateral trade agreements and resolution of disputes arising from these agreements.,Department of Public Enterprises,"Business Names Act, No. 07 of 1987"
Preparation of the annual budget and management of financial resources,Office of Comptroller General,Companies Act No. 07 of 2007
,Department of Inland Revenue,Trade Marks Act No. 30 of 1964
,Sri Lanka Customs,Cheetus Ordinance No. 61 of 1935
,Department of Excise,Public Contract Act No. 03 Of 1987
,National Lotteries Board,"Prevention of Money Laundering Act, No. 5 of 2006"
,Development Lotteries Board,"Sri Lanka Accounting and Auditing Standards Act, No. 15 of 1995"
,Department of Valuation,"Import and Export (Control) Act, No. 1 of 1969"
,Import and Export Control Department,Sri Lanka Export Development Act No. 40 of 1979
,Sri Lanka Export Development Board,
,Central Bank of Sri Lanka,
,"All State Banks, Financial Institutions, Insurance Companies and their subsidiaries and related institutions",
12. Ensuring the execution of the national budget and enforcing budgetary and financial controls,29. Insurance Regulatory Commission of Sri Lanka,"• Stamp Duty (Special Provisions) Act, No. 12 of 2006"
13. Management of national tax policies and effective use of Government revenue,30. Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies,"• Stamp Duty (Special Provisions) Act, No. 10 of 2008"
14. Coordination of public and private sector activities for economic development,31. Credit Information Bureau,"• Stamps Duty Act, No. 43 of 1982"
15. Coordination with international agencies and mobilization of foreign resources for economic development,32. Department of the Registrar of Companies,"• Value Added Tax Act, No. 14 of 2002"
16. Liaising with donor agencies and international financial institutions,33. Securities and Exchange Commission of Sri Lanka,"• Welfare Benefits Act, No. 24 of 2002"
17. Enforcement of Government Financial Regulations,34. Sri Lanka Accounting and Auditing Standard Monitoring Board,"• Finance Act, No. 38 of 1971"
18. Management of the Consolidated Fund,35. Public Utilities Commission of Sri Lanka,"• Environment Conservation Levy Act, No. 26 of 2008"
19. Overall supervision of revenue agencies,36. Sri Lanka Export Credit Insurance Corporation,"• Tax Appeals Commission Act, No. 23 of 2008"
20. Provision of direction and guidance to State Banks and Financial Agencies,37. Housing Development Finance Corporation,• Public Utilities Commission of Sri Lanka Act No. 35 of 2002
21. Public expenditure management,38. State Mortgage and Investment Bank,• Institute of Policy Studies of Sri Lanka Act No. 53 of 1988
"22. Preparation of policies, guidelines and regulations on government procurement and provision of advice on same",39. Regional Development Bank,• Sustainable Development Act No. 19 of 2017
"23. Maintenance of information on state property such as vehicles, buildings, lands owned by all government institutions and development of methods to utilize such resources efficiently and effectively.",40. Tax Appeals Commission,"• Development Lotteries Board Act, No. 20 of 1997"
,41. Department of Census and Statistics,"• Sri Lanka Export Credit Insurance Act, No. 15 of 1978"
,42. Institute of Policy Studies,"• Inland Revenue Act, No. 24 of 2017"
,43. Sustainable Development Council,• Monetary Law Act No. 58 of 1949
,44. Welfare Benefits Board,"• National Savings Bank Act, No. 30 of 1971"
,45. Public Service Mutual Provident Fund,"• People's Bank Act, No. 29 of 1961"
,"46. Strike, Riot, Civil Commotion and Terrorism Fund",
